config_file;seed;runs;p;me.active;me.datafile;me.k;me.persistent;me.epochs.0;me.lr.0;me.layersnodes.0;me.batchsize;me.lambdas.0;me.lambdas.1;ge.active;ge.datafile;ge.k;ge.persistent;ge.epochs.0;ge.epochs.1;ge.lr.0;ge.lr.1;ge.layersnodes.0;ge.layersnodes.1;ge.batchsize;ge.lambdas.0;ge.lambdas.1;dm.active;dm.datafile;dm.k;dm.persistent;dm.epochs.0;dm.epochs.1;dm.lr.0;dm.lr.1;dm.layersnodes.0;dm.layersnodes.1;dm.batchsize;dm.lambdas.0;dm.lambdas.1;top.active;top.k;top.persistent;top.epochs.0;top.epochs.1;top.lr.0;top.lr.1;top.layersnodes.0;top.layersnodes.1;top.batchsize;uuid
ov_config_2_1.json;1234;5;1.0;True;TCGA_Data/3.miRNA_0.5.out;10;False;2;0.0005;40;1;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;False;2;800;0.0005;0.1;400;40;1;0.0;0.1;True;TCGA_Data/3.Methylation_0.5.out;1;False;2;800;0.0005;0.1;400;40;1;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;1;N/A
ov_config_2_5.json;1234;5;1.0;True;TCGA_Data/3.miRNA_0.5.out;10;False;2;0.0005;40;5;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;False;2;800;0.0005;0.1;400;40;5;0.0;0.1;True;TCGA_Data/3.Methylation_0.5.out;1;False;2;800;0.0005;0.1;400;40;5;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;5;N/A
ov_config_20_1.json;1234;5;1.0;True;TCGA_Data/3.miRNA_0.5.out;10;False;20;0.0005;40;1;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;False;20;800;0.0005;0.1;400;40;1;0.0;1.0;True;TCGA_Data/3.Methylation_0.5.out;1;False;20;800;0.0005;0.1;400;40;1;0.0;1.0;True;1;False;800;800;0.1;0.1;24;3;1;N/A
ov_config_20_5.json;1234;5;1.0;True;TCGA_Data/3.miRNA_0.5.out;10;False;20;0.0005;40;5;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;False;20;800;0.0005;0.1;400;40;5;0.0;1.0;True;TCGA_Data/3.Methylation_0.5.out;1;False;20;800;0.0005;0.1;400;40;5;0.0;1.0;True;1;False;800;800;0.1;0.1;24;3;5;N/A
ov_config_2_1p_a.json;1234;5;1.0;True;TCGA_Data/3.miRNA_0.5.out;10;True;2;0.0005;40;1;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;True;2;800;0.0005;0.01;400;40;1;0.0;0.01;True;TCGA_Data/3.Methylation_0.5.out;1;False;2;800;0.0005;0.1;400;40;1;0.0;0.1;True;1;True;800;800;0.005;0.01;24;3;1;N/A
ov_config_2_5p_a.json;1234;5;1.0;True;TCGA_Data/3.miRNA_0.5.out;10;True;2;0.0005;40;5;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;True;2;800;0.0005;0.01;400;40;5;0.0;0.01;True;TCGA_Data/3.Methylation_0.5.out;1;False;2;800;0.0005;0.1;400;40;5;0.0;0.1;True;1;True;800;800;0.005;0.01;24;3;5;N/A
ov_config_20_1p_a.json;1234;5;1.0;True;TCGA_Data/3.miRNA_0.5.out;10;True;20;0.0005;40;1;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;True;20;800;0.0005;0.01;400;40;1;0.0;0.01;True;TCGA_Data/3.Methylation_0.5.out;1;False;20;800;0.0005;0.1;400;40;1;0.0;1.0;True;1;True;800;800;0.005;0.01;24;3;1;N/A
ov_config_20_5p_a.json;1234;5;1.0;True;TCGA_Data/3.miRNA_0.5.out;10;True;20;0.0005;40;5;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;True;20;800;0.0005;0.01;400;40;5;0.0;0.01;True;TCGA_Data/3.Methylation_0.5.out;1;False;20;800;0.0005;0.1;400;40;5;0.0;1.0;True;1;True;800;800;0.005;0.01;24;3;5;N/A
ov_config_2_1_05.json;1234;5;0.5;True;TCGA_Data/3.miRNA_0.5.out;10;False;2;0.0005;40;1;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;False;2;800;0.0005;0.1;400;40;1;0.0;0.1;True;TCGA_Data/3.Methylation_0.5.out;1;False;2;800;0.0005;0.1;400;40;1;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;1;N/A
ov_config_2_5_05.json;1234;5;0.5;True;TCGA_Data/3.miRNA_0.5.out;10;False;2;0.0005;40;5;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;False;2;800;0.0005;0.1;400;40;5;0.0;0.1;True;TCGA_Data/3.Methylation_0.5.out;1;False;2;800;0.0005;0.1;400;40;5;0.0;0.1;True;1;False;800;800;0.1;0.1;24;3;5;N/A
ov_config_20_1_05.json;1234;5;0.5;True;TCGA_Data/3.miRNA_0.5.out;10;False;20;0.0005;40;1;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;False;20;800;0.0005;0.1;400;40;1;0.0;1.0;True;TCGA_Data/3.Methylation_0.5.out;1;False;20;800;0.0005;0.1;400;40;1;0.0;1.0;True;1;False;800;800;0.1;0.1;24;3;1;N/A
ov_config_20_5_05.json;1234;5;0.5;True;TCGA_Data/3.miRNA_0.5.out;10;False;20;0.0005;40;5;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;False;20;800;0.0005;0.1;400;40;5;0.0;1.0;True;TCGA_Data/3.Methylation_0.5.out;1;False;20;800;0.0005;0.1;400;40;5;0.0;1.0;True;1;False;800;800;0.1;0.1;24;3;5;N/A
ov_config_2_1p_05_a.json;1234;5;0.5;True;TCGA_Data/3.miRNA_0.5.out;10;True;2;0.0005;40;1;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;True;2;800;0.0005;0.01;400;40;1;0.0;0.01;True;TCGA_Data/3.Methylation_0.5.out;1;False;2;800;0.0005;0.1;400;40;1;0.0;0.1;True;1;True;800;800;0.005;0.01;24;3;1;N/A
ov_config_2_5p_05_a.json;1234;5;0.5;True;TCGA_Data/3.miRNA_0.5.out;10;True;2;0.0005;40;5;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;True;2;800;0.0005;0.01;400;40;5;0.0;0.01;True;TCGA_Data/3.Methylation_0.5.out;1;False;2;800;0.0005;0.1;400;40;5;0.0;0.1;True;1;True;800;800;0.005;0.01;24;3;5;N/A
ov_config_20_1p_05_a.json;1234;5;0.5;True;TCGA_Data/3.miRNA_0.5.out;10;True;20;0.0005;40;1;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;True;20;800;0.0005;0.01;400;40;1;0.0;0.01;True;TCGA_Data/3.Methylation_0.5.out;1;False;20;800;0.0005;0.1;400;40;1;0.0;1.0;True;1;True;800;800;0.005;0.01;24;3;1;N/A
ov_config_20_5p_05_a.json;1234;5;0.5;True;TCGA_Data/3.miRNA_0.5.out;10;True;20;0.0005;40;5;0.0;0.1;True;TCGA_Data/3.GE1_0.5.out;1;True;20;800;0.0005;0.01;400;40;5;0.0;0.01;True;TCGA_Data/3.Methylation_0.5.out;1;False;20;800;0.0005;0.1;400;40;5;0.0;1.0;True;1;True;800;800;0.005;0.01;24;3;5;N/A